tags,value
sepulvedadam,5
woodleyavenuepark,5
bird,4
vannuys,3
annashumingbird,1
brownpelican,1
duck,1
foxsquirrel,1
grebe,1
hummingbird,1
mallard,1
pelican,1
piedbilledgrebe,1
shorebird,1
squirrel,1
