Words,Existence,Recreation,Social relations,Aesthetics,Spiritual,Knowledge systems,Inspiration,Cultural heritage,Education,Sense of place,Cultural diversity
lariver,7,,,,,,,,,,
campout,,6,,,,,,,,,
walkathon,,,6,,,,,,,,
earthday,,,6,,,,,,,,
environmentaljustice,,,,,,,,,6,,
urbanparkmovement,,,,,,,,,6,,
losangelesriver,6,,,,,,,,,,
losangelesstatehistoricpark,,,,,,,,6,,,
outside,,,,,1,,,,,,
grass,,,,1,,,,,,,
